bike_usage,hour,region,subzone
1,2022-02-24 05:00:00,lower_west_manhattan,NW
1,2022-04-01 10:00:00,lower_west_manhattan,NW
1,2022-04-13 09:00:00,lower_west_manhattan,NW
1,2022-06-18 13:00:00,lower_west_manhattan,NW
1,2022-07-07 13:00:00,lower_west_manhattan,NW
1,2022-07-29 04:00:00,lower_west_manhattan,NW
1,2022-11-17 22:00:00,lower_west_manhattan,NW
1,2022-12-30 16:00:00,lower_west_manhattan,NW
2,2022-12-31 00:00:00,lower_west_manhattan,NW
2,2022-12-31 01:00:00,lower_west_manhattan,NW
1,2022-12-31 02:00:00,lower_west_manhattan,NW
1,2022-12-31 03:00:00,lower_west_manhattan,NW
1,2022-12-31 04:00:00,lower_west_manhattan,NW
1,2022-12-31 07:00:00,lower_west_manhattan,NW
1,2022-12-31 08:00:00,lower_west_manhattan,NW
2,2022-12-31 10:00:00,lower_west_manhattan,NW
2,2022-12-31 11:00:00,lower_west_manhattan,NW
4,2022-12-31 12:00:00,lower_west_manhattan,NW
4,2022-12-31 13:00:00,lower_west_manhattan,NW
3,2022-12-31 15:00:00,lower_west_manhattan,NW
3,2022-12-31 16:00:00,lower_west_manhattan,NW
4,2022-12-31 18:00:00,lower_west_manhattan,NW
2,2022-12-31 19:00:00,lower_west_manhattan,NW
1,2022-12-31 20:00:00,lower_west_manhattan,NW
2,2022-12-31 22:00:00,lower_west_manhattan,NW
54,2022-12-31 23:00:00,lower_west_manhattan,NW
333,2023-01-01 00:00:00,lower_west_manhattan,NW
549,2023-01-01 01:00:00,lower_west_manhattan,NW
495,2023-01-01 02:00:00,lower_west_manhattan,NW
298,2023-01-01 03:00:00,lower_west_manhattan,NW
195,2023-01-01 04:00:00,lower_west_manhattan,NW
93,2023-01-01 05:00:00,lower_west_manhattan,NW
99,2023-01-01 06:00:00,lower_west_manhattan,NW
128,2023-01-01 07:00:00,lower_west_manhattan,NW
219,2023-01-01 08:00:00,lower_west_manhattan,NW
384,2023-01-01 09:00:00,lower_west_manhattan,NW
581,2023-01-01 10:00:00,lower_west_manhattan,NW
739,2023-01-01 11:00:00,lower_west_manhattan,NW
1037,2023-01-01 12:00:00,lower_west_manhattan,NW
1214,2023-01-01 13:00:00,lower_west_manhattan,NW
1315,2023-01-01 14:00:00,lower_west_manhattan,NW
1469,2023-01-01 15:00:00,lower_west_manhattan,NW
1312,2023-01-01 16:00:00,lower_west_manhattan,NW
1026,2023-01-01 17:00:00,lower_west_manhattan,NW
857,2023-01-01 18:00:00,lower_west_manhattan,NW
693,2023-01-01 19:00:00,lower_west_manhattan,NW
577,2023-01-01 20:00:00,lower_west_manhattan,NW
483,2023-01-01 21:00:00,lower_west_manhattan,NW
517,2023-01-01 22:00:00,lower_west_manhattan,NW
357,2023-01-01 23:00:00,lower_west_manhattan,NW
237,2023-01-02 00:00:00,lower_west_manhattan,NW
133,2023-01-02 01:00:00,lower_west_manhattan,NW
86,2023-01-02 02:00:00,lower_west_manhattan,NW
39,2023-01-02 03:00:00,lower_west_manhattan,NW
56,2023-01-02 04:00:00,lower_west_manhattan,NW
70,2023-01-02 05:00:00,lower_west_manhattan,NW
158,2023-01-02 06:00:00,lower_west_manhattan,NW
303,2023-01-02 07:00:00,lower_west_manhattan,NW
481,2023-01-02 08:00:00,lower_west_manhattan,NW
674,2023-01-02 09:00:00,lower_west_manhattan,NW
967,2023-01-02 10:00:00,lower_west_manhattan,NW
1294,2023-01-02 11:00:00,lower_west_manhattan,NW
1489,2023-01-02 12:00:00,lower_west_manhattan,NW
1633,2023-01-02 13:00:00,lower_west_manhattan,NW
1736,2023-01-02 14:00:00,lower_west_manhattan,NW
1884,2023-01-02 15:00:00,lower_west_manhattan,NW
1790,2023-01-02 16:00:00,lower_west_manhattan,NW
1488,2023-01-02 17:00:00,lower_west_manhattan,NW
1350,2023-01-02 18:00:00,lower_west_manhattan,NW
983,2023-01-02 19:00:00,lower_west_manhattan,NW
825,2023-01-02 20:00:00,lower_west_manhattan,NW
521,2023-01-02 21:00:00,lower_west_manhattan,NW
