dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,dt_iso_parsed,hour,bike_usage,region,subzone,hour_of_datetime,day_of_week,month,hour_sin,hour_cos
1672531200,2023-01-01 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,9.32,2414.0,8.4,7.64,8.86,11.2,1011,,,94,3.1,190,0.0,0.25,0.0,0.0,0.0,100,500,Rain,light rain,10n,2023-01-01 00:00:00,2023-01-01 00:00:00,120.0,lower_west_manhattan,SW,0,6,1,0.0,1.0
1672534800,2023-01-01 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,9.14,2816.0,8.38,7.74,8.53,10.53,1010,,,95,2.6,160,0.0,0.81,0.0,0.0,0.0,100,500,Rain,light rain,10n,2023-01-01 01:00:00,2023-01-01 01:00:00,237.0,lower_west_manhattan,SW,1,6,1,0.25881904510252074,0.9659258262890683
1672538400,2023-01-01 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,10.03,10000.0,9.42,9.6,8.86,11.76,1009,,,96,1.0,180,0.0,1.27,0.0,0.0,0.0,100,501,Rain,moderate rain,10n,2023-01-01 02:00:00,2023-01-01 02:00:00,176.0,lower_west_manhattan,SW,2,6,1,0.49999999999999994,0.8660254037844387
1672542000,2023-01-01 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,11.32,6437.0,10.07,10.91,9.42,12.44,1009,,,92,3.1,270,0.0,2.07,0.0,0.0,0.0,100,701,Mist,mist,50n,2023-01-01 03:00:00,2023-01-01 03:00:00,111.0,lower_west_manhattan,SW,3,6,1,0.7071067811865475,0.7071067811865476
1672545600,2023-01-01 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,11.32,10000.0,9.74,10.86,10.54,12.44,1008,,,90,4.47,360,9.83,0.64,0.0,0.0,0.0,100,500,Rain,light rain,10n,2023-01-01 04:00:00,2023-01-01 04:00:00,57.0,lower_west_manhattan,SW,4,6,1,0.8660254037844386,0.5000000000000001
1672549200,2023-01-01 05:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,10.91,10000.0,9.5,10.43,10.53,12.44,1008,,,91,4.02,360,5.81,0.3,0.0,0.0,0.0,100,500,Rain,light rain,10n,2023-01-01 05:00:00,2023-01-01 05:00:00,21.0,lower_west_manhattan,SW,5,6,1,0.9659258262890683,0.25881904510252074
1672552800,2023-01-01 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,11.18,9656.0,9.93,10.76,10.54,12.19,1007,,,92,6.71,360,10.73,0.25,0.0,0.0,0.0,100,701,Mist,mist,50n,2023-01-01 06:00:00,2023-01-01 06:00:00,27.0,lower_west_manhattan,SW,6,6,1,1.0,6.123233995736766e-17
1672556400,2023-01-01 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,10.82,10000.0,9.25,10.31,10.33,12.31,1007,,,90,7.2,270,0.0,0.0,0.0,0.0,0.0,20,801,Clouds,few clouds,02n,2023-01-01 07:00:00,2023-01-01 07:00:00,47.0,lower_west_manhattan,SW,7,6,1,0.9659258262890683,-0.25881904510252063
1672560000,2023-01-01 08:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,10.58,10000.0,9.17,10.07,9.98,11.43,1008,,,91,5.81,360,8.49,0.0,0.0,0.0,0.0,0,800,Clear,sky is clear,01n,2023-01-01 08:00:00,2023-01-01 08:00:00,95.0,lower_west_manhattan,SW,8,6,1,0.8660254037844387,-0.4999999999999998
1672563600,2023-01-01 09:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,10.33,10000.0,8.93,9.79,9.42,11.94,1008,,,91,5.1,270,0.0,0.25,0.0,0.0,0.0,0,500,Rain,light rain,10n,2023-01-01 09:00:00,2023-01-01 09:00:00,185.0,lower_west_manhattan,SW,9,6,1,0.7071067811865476,-0.7071067811865475
