dt,dt_iso,timezone,city_name,lat,lon,temp,visibility,dew_point,feels_like,temp_min,temp_max,pressure,sea_level,grnd_level,humidity,wind_speed,wind_deg,wind_gust,rain_1h,rain_3h,snow_1h,snow_3h,clouds_all,weather_id,weather_main,weather_description,weather_icon,dt_iso_parsed,hour
1704067200,2024-01-01 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.61,10000.0,-2.18,2.29,4.98,6.65,1016,,,56,4.6,260,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 00:00:00,2024-01-01 00:00:00
1704070800,2024-01-01 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.7,10000.0,-1.9,2.95,5.43,6.65,1016,,,57,3.6,250,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 01:00:00,2024-01-01 01:00:00
1704074400,2024-01-01 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.54,10000.0,-1.41,2.2,4.98,6.65,1016,,,60,4.6,270,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 02:00:00,2024-01-01 02:00:00
1704078000,2024-01-01 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.71,10000.0,-1.07,2.96,5.33,6.65,1016,,,61,3.6,260,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 03:00:00,2024-01-01 03:00:00
1704081600,2024-01-01 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.65,10000.0,-0.93,2.89,4.97,6.76,1016,,,62,3.6,250,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 04:00:00,2024-01-01 04:00:00
1704085200,2024-01-01 05:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.49,10000.0,-0.87,2.21,4.97,6.69,1016,,,63,4.47,300,7.15,0.12,,,,100,500,Rain,light rain,10n,2024-01-01 05:00:00,2024-01-01 05:00:00
1704088800,2024-01-01 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.42,10000.0,-0.93,2.31,4.97,6.19,1016,,,63,4.12,260,,0.14,,,,100,500,Rain,light rain,10n,2024-01-01 06:00:00,2024-01-01 06:00:00
1704092400,2024-01-01 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.37,10000.0,-0.59,2.26,4.97,6.2,1016,,,65,4.1,270,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 07:00:00,2024-01-01 07:00:00
1704096000,2024-01-01 08:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.95,10000.0,-0.58,1.74,4.42,6.09,1016,,,67,4.1,270,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 08:00:00,2024-01-01 08:00:00
1704099600,2024-01-01 09:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.81,10000.0,-0.7,2.2,4.41,5.68,1016,,,67,3.1,280,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 09:00:00,2024-01-01 09:00:00
1704103200,2024-01-01 10:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.84,10000.0,-0.32,3.08,4.19,5.68,1015,,,69,2.1,250,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 10:00:00,2024-01-01 10:00:00
1704106800,2024-01-01 11:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.77,10000.0,-0.03,1.82,4.41,5.68,1016,,,71,3.6,290,0.0,,,,,100,500,Rain,light rain,10n,2024-01-01 11:00:00,2024-01-01 11:00:00
1704110400,2024-01-01 12:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,3.96,10000.0,1.0,0.83,3.3,5.12,1016,,,81,3.6,310,0.0,0.59,,,,100,500,Rain,light rain,10n,2024-01-01 12:00:00,2024-01-01 12:00:00
1704114000,2024-01-01 13:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.15,10000.0,1.53,1.74,3.3,4.99,1017,,,83,2.68,287,2.68,0.27,,,,100,500,Rain,light rain,10d,2024-01-01 13:00:00,2024-01-01 13:00:00
1704117600,2024-01-01 14:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.48,10000.0,1.51,2.2,3.86,5.12,1017,,,81,2.6,0,0.0,0.28,,,,100,500,Rain,light rain,10d,2024-01-01 14:00:00,2024-01-01 14:00:00
1704121200,2024-01-01 15:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.21,10000.0,1.51,2.69,4.42,5.97,1017,,,77,3.1,360,0.0,0.51,0.51,,,100,500,Rain,light rain,10d,2024-01-01 15:00:00,2024-01-01 15:00:00
1704124800,2024-01-01 16:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.95,10000.0,1.68,2.46,4.99,6.97,1017,,,74,5.14,290,15.43,,,,,40,802,Clouds,scattered clouds,03d,2024-01-01 16:00:00,2024-01-01 16:00:00
1704128400,2024-01-01 17:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.1,10000.0,0.97,5.72,6.09,7.97,1016,,,65,2.1,0,0.0,,,,,40,802,Clouds,scattered clouds,03d,2024-01-01 17:00:00,2024-01-01 17:00:00
1704132000,2024-01-01 18:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.37,10000.0,1.02,6.6,6.63,8.45,1016,,,64,1.54,0,,,,,,75,803,Clouds,broken clouds,04d,2024-01-01 18:00:00,2024-01-01 18:00:00
1704135600,2024-01-01 19:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.35,10000.0,0.33,5.26,6.64,8.31,1016,,,61,3.1,310,0.0,,,,,100,804,Clouds,overcast clouds,04d,2024-01-01 19:00:00,2024-01-01 19:00:00
1704139200,2024-01-01 20:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.63,10000.0,-0.09,5.94,6.66,8.28,1017,,,58,2.6,0,0.0,,,,,75,803,Clouds,broken clouds,04d,2024-01-01 20:00:00,2024-01-01 20:00:00
1704142800,2024-01-01 21:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.6,10000.0,-0.11,5.55,6.66,8.19,1017,,,58,3.13,342,4.92,,,,,100,804,Clouds,overcast clouds,04d,2024-01-01 21:00:00,2024-01-01 21:00:00
1704146400,2024-01-01 22:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,7.0,10000.0,-0.2,4.54,6.08,7.9,1017,,,60,3.6,340,0.0,,,,,100,804,Clouds,overcast clouds,04n,2024-01-01 22:00:00,2024-01-01 22:00:00
1704150000,2024-01-01 23:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,6.43,10000.0,-0.67,3.56,5.55,7.21,1018,,,60,4.1,340,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-01 23:00:00,2024-01-01 23:00:00
1704153600,2024-01-02 00:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.6,10000.0,-0.97,1.39,4.97,6.23,1018,,,62,6.71,325,8.05,,,,,75,803,Clouds,broken clouds,04n,2024-01-02 00:00:00,2024-01-02 00:00:00
1704157200,2024-01-02 01:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,5.19,10000.0,-1.12,0.69,4.41,5.97,1018,,,63,7.2,360,0.0,,,,,75,803,Clouds,broken clouds,04n,2024-01-02 01:00:00,2024-01-02 01:00:00
1704160800,2024-01-02 02:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,4.5,10000.0,-1.51,0.66,3.86,5.54,1019,,,64,5.1,340,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 02:00:00,2024-01-02 02:00:00
1704164400,2024-01-02 03:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,3.54,10000.0,-1.95,-1.04,2.76,4.53,1019,,,66,6.2,340,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 03:00:00,2024-01-02 03:00:00
1704168000,2024-01-02 04:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,2.77,10000.0,-2.25,-2.02,2.19,3.45,1019,,,68,6.2,340,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 04:00:00,2024-01-02 04:00:00
1704171600,2024-01-02 05:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,1.97,10000.0,-2.24,-2.15,1.09,2.97,1019,,,72,4.47,5,5.81,,,,,0,800,Clear,sky is clear,01n,2024-01-02 05:00:00,2024-01-02 05:00:00
1704175200,2024-01-02 06:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,1.39,10000.0,-2.91,-3.23,0.53,2.18,1019,,,71,5.1,360,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 06:00:00,2024-01-02 06:00:00
1704178800,2024-01-02 07:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,0.47,10000.0,-3.53,-4.95,-0.02,1.65,1019,,,72,6.2,350,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 07:00:00,2024-01-02 07:00:00
1704182400,2024-01-02 08:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,0.2,10000.0,-3.76,-4.72,-0.81,1.09,1019,,,72,5.1,350,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 08:00:00,2024-01-02 08:00:00
1704186000,2024-01-02 09:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,-0.61,10000.0,-4.85,-6.13,-1.13,0.54,1019,,,70,5.81,310,8.05,,,,,0,800,Clear,sky is clear,01n,2024-01-02 09:00:00,2024-01-02 09:00:00
1704189600,2024-01-02 10:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,-1.05,10000.0,-5.28,-6.44,-1.69,-0.02,1019,,,70,5.36,355,7.6,,,,,0,800,Clear,sky is clear,01n,2024-01-02 10:00:00,2024-01-02 10:00:00
1704193200,2024-01-02 11:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,-0.71,10000.0,-5.29,-7.09,-1.68,-0.02,1020,,,68,7.6,38,8.94,,,,,0,800,Clear,sky is clear,01n,2024-01-02 11:00:00,2024-01-02 11:00:00
1704196800,2024-01-02 12:00:00 +0000 UTC,-18000,New York,40.712775,-74.005973,-0.81,10000.0,-5.22,-5.68,-1.81,-0.02,1020,,,69,4.6,340,0.0,,,,,0,800,Clear,sky is clear,01n,2024-01-02 12:00:00,2024-01-02 12:00:00
