station_name,lat,lng
Vesey St & Church St,40.71221958009051,-74.01047229766846
Lispenard St & Broadway,40.71939226,-74.00247214
3 Ave & Schermerhorn St,40.68683208,-73.9796772
E 5 St & Ave A,40.72479007746337,-73.98430064320564
W 54 St & 11 Ave,40.768292427,-73.992562771
W 59 St & 10 Ave,40.770513,-73.988038
Barrow St & Hudson St,40.73172428,-74.00674436
46 St & Queens Blvd,40.74349759836971,-73.91860529780388
W 135 St & Lenox Terrace Pl,40.813598633,-73.93923521
Prospect Pl & Nostrand Ave,40.67428,-73.9503
Court St & State St,40.6902375,-73.99203074
Underhill Ave & Pacific St,40.6804836,-73.9646795
Broadway & E 14 St,40.734629512,-73.990792036
6 Ave & W 33 St,40.748832583,-73.988827229
E 102 St & 1 Ave,40.786960125,-73.941613674
W 70 St & Amsterdam Ave,40.77748046,-73.98288594
E 20 St & Park Ave,40.73827428,-73.98751968
Berkeley Pl & 6 Ave,40.6765304,-73.97846879
South St & Whitehall St,40.70122128,-74.01234218
St Nicholas Ave & Manhattan Ave,40.809725,-73.953149
Myrtle Ave & St Edwards St,40.69327018,-73.97703874
E 82 St & East End Ave,40.7724607,-73.9468208
W 35 St & 8 Ave,40.752762088742045,-73.99280458705107
E 102 St & Park Ave,40.7904828,-73.95033068
7 Ave & Central Park South,40.766686797,-73.979666948
Lenox Ave & W 111 St,40.7987859,-73.9523
21 St & 4 Ave,40.662584,-73.995554
Creston Ave & E 181 St,40.8549,-73.90281
Jerome Ave & W 195 St,40.86874,-73.89657
31 Pl & Hunters Point Ave,40.740247965,-73.935422778
E 150 St & Gerard Ave,40.820089,-73.928947
Plaza Dr & W 170 St,40.840618849,-73.917868018
E 123 St & Lexington Ave,40.802899718,-73.937790871
1 Ave & E 30 St,40.741670251,-73.975375652
W 36 St & 9 Ave,40.75462324029105,-73.99516761302948
Graham Ave & Withers St,40.7169811,-73.94485918
Berkeley Pl & 7 Ave,40.675146838709786,-73.97523209452629
E 89 St & 3 Ave,40.780652881,-73.952193618
E 47 St & 1 Ave,40.75206862,-73.96784384
Broadway & W 29 St,40.7462009,-73.98855723
E 9 St & Avenue C,40.725150347,-73.97761178
Riverside Dr & W 104 St,40.801381111,-73.971165657
Cherry St,40.712257862,-73.979164481
Irving Ave & Palmetto St,40.698,-73.9127
Clermont Ave & Lafayette Ave,40.68764484,-73.96968902
W 111 St & 5 Ave,40.797504067,-73.949001193
3 Ave & E 71 St,40.768738866,-73.961762667
12 St & 4 Ave,40.668603,-73.9904394
Vernon Blvd & Queens Plaza S,40.754069567,-73.949435353
Manhattan Av & Leonard St,40.720795631,-73.948456764
Cumberland St & Lafayette Ave,40.687582612,-73.97269237
E 68 St & Madison Ave,40.769016266,-73.96655488
President St & 4 Ave,40.67664957,-73.98342073
Broadway & W 61 St,40.77003010255044,-73.9819684624672
9 Ave & W 219 St,40.871094,-73.911503
Macon St & Nostrand Ave,40.6809833854,-73.9500479759
Broadway & W 41 St,40.75513557,-73.98658032
W 106 St & Central Park West,40.7981856,-73.9605909006
E 72 St & Park Ave,40.77118287540658,-73.96409422159195
Delancey St & Eldridge St,40.719505548,-73.991508245
36 St & 4 Ave,40.654144,-74.00422
Wadsworth Ave & W 179 St,40.848467,-73.936064
W 50 St & 9 Ave,40.76360467795863,-73.98917958140373
31 Ave & Crescent St,40.765792966,-73.926744461
5 St & 51 Ave,40.742378592,-73.956852913
W 106 St & Amsterdam Ave,40.8008363,-73.9664492472
Putnam Ave & Ralph Ave,40.68705,-73.92338
Hancock St & Bedford Ave,40.682147741,-73.954174042
Centre St & Chambers St,40.71273266,-74.0046073
6 Ave & 9 St,40.668127,-73.98377641
Carroll St & Bond St,40.6786115,-73.99037292
Stanton St & Chrystie St,40.722269893,-73.991456628
W 20 St & 8 Ave,40.74345335,-74.00004031
Pier 40 - Hudson River Park,40.7277140777778,-74.01129573583603
Metropolitan Ave & Vandervoort Ave,40.71429,-73.93323
W Fordham Rd & Loring Pl N,40.862880707,-73.90713048
Van Sinderen Ave & Truxton St,40.6786,-73.90369
W 44 St & 5 Ave,40.75500254,-73.98014437
Front St & Gold St,40.70224,-73.982578
30 St & 4 Ave,40.657743,-74.001141
Park Ave & St Edwards St,40.69608941,-73.97803415
Congress St & Clinton St,40.688138843,-73.995523572
Jay St & York St,40.70140317257725,-73.98672670125961
Norfolk St & Broome St,40.717295289,-73.988007069
Borden Ave & Review Ave,40.738670468,-73.941221595
51 St & 43 Ave,40.744572043,-73.914027333
Water St & Gouverneur Ln,40.70469667894968,-74.00803416967392
W 56 St & 8 Ave,40.765959181657976,-73.98313522338867
S 3 St & Bedford Ave,40.712645292,-73.962722659
E 91 St & Park Ave,40.783622265,-73.9553684
Kent Ave & Division Ave,40.706563674670925,-73.9683187007904
Morton St & West St,40.73142106543068,-74.01077985769007
Stanton St & Norfolk St,40.720747,-73.986274
Bushwick Ave & Powers St,40.712540627,-73.941092968
West St & Chambers St,40.71754834,-74.01322069
Reade St & Broadway,40.71450451,-74.00562789
William St & Pine St,40.70717936,-74.00887308
Smith St & 9 St,40.6746957,-73.99785768
Willoughby Ave & Walworth St,40.69331716,-73.95381995
Devoe St & Morgan Ave,40.713811,-73.93515
Broadway & W 51 St,40.76228826,-73.98336183
Driggs Ave & Lorimer St,40.721791029,-73.950374484
10 Ave & W 28 St,40.75066386,-74.00176802
Central Ave & Starr Street,40.699990273,-73.928364873
Great Jones St,40.72743423,-73.99379025
Greenpoint Ave & 47 St,40.7424,-73.91808
Lawrence St & Willoughby St,40.691988945,-73.986588001
W 35 St & Dyer Ave,40.754727602,-73.997512579
Bedford Ave & Montgomery St,40.665816,-73.956934
W Broadway & W Houston St,40.726378,-74.000472
Flushing Ave & Vanderbilt Ave,40.697897792,-73.970710397
48 St & Barnett Ave,40.75001640425933,-73.91540944576263
Grand Army Plaza & Central Park S,40.76411128,-73.974061847
W 37 St & Broadway,40.75227093837409,-73.98770570755005
Forsyth St & Broome St,40.71893904,-73.99266288
Boston Rd & Prospect Ave,40.833240747,-73.896654367
Adelphi St & Myrtle Ave,40.693063974,-73.971737385
Lewis Ave & Greene Ave,40.689967036,-73.936527848
W 165 St & Fort Washington Ave,40.84004,-73.942939
Menahan St & Central Ave,40.69543,-73.9196
Adam Clayton Powell Blvd & W 141 St,40.819241,-73.941057
St Nicholas Ave & W 150 St,40.827212,-73.942722
Calyer St & Guernsey St,40.72755807335852,-73.95505852997303
5 Ave & E 78 St,40.77632142182271,-73.96427392959595
Sheridan Ave & E 172 St,40.840494752,-73.91150856
E 53 St & Lexington Ave,40.758419394,-73.970475912
3 Ave & 14 St,40.668623447,-73.993127942
E 2 St & Avenue C,40.720887303,-73.981083035
River Ave & E 151 St,40.822047353,-73.928994298
Union Ave & E 169 St,40.82995,-73.898802
Washington Ave & Greene Ave,40.68650065,-73.96563307
Franklin St & Dupont St,40.73564,-73.95866
Allen St & Rivington St,40.72019576,-73.98997825
3 St & Prospect Park West,40.668191791,-73.973520994
W 51 St & Rockefeller Plaza,40.75973805251143,-73.97811613976955
Davidson Ave & W Burnside Ave,40.853597283,-73.90875268
Parade Pl & Crooke Ave,40.651847,-73.965248
Andrews Ave S & W 179 St,40.855161667,-73.912899375
10 Ave & W 215 St,40.869063258,-73.915403843
Pinehurst Ave & W 187 St,40.855331,-73.937878
Wyckoff Ave & Cooper Ave,40.69338,-73.90061
E 31 St & 3 Ave,40.743961811,-73.979817986
E 88 St & Park Ave,40.781032443,-73.955887437
W 110 St & Amsterdam Ave,40.802692,-73.96295
E 141 St & Jackson Ave,40.807030559,-73.911972284
Courtlandt Ave & E 149 St,40.816380978,-73.919529319
Park Ave & E 162 St,40.825683236,-73.915598512
2 Ave & 43 St,40.652816772,-74.012888312
Crescent St & 35 Ave,40.759558916,-73.932174087
Center Blvd & 48 Ave,40.745038,-73.957539
McDonald Ave & Vanderbilt St,40.651814938,-73.981257796
23 Rd & 31 St,40.77336750284339,-73.91382560133934
Knickerbocker Ave & Hancock St,40.69385,-73.90974
W 40 St & 7 Ave,40.754818,-73.988154
Morningside Dr & Amsterdam Ave,40.81028506306003,-73.95736455917358
36 St & Hunters Point Ave,40.7367661,-73.931406617
Cadman Plaza E & Tillary St,40.69597683,-73.99014892
Willis Ave & Bruckner Blvd,40.80565536,-73.925053596
Beaver St & Fayette St,40.70099,-73.93921
6 Ave & 60 St,40.638292909,-74.013702273
Lincoln Pl & Nostrand Ave,40.67077,-73.9507
Lenox Ave & W 140 St,40.817245,-73.938787
Ogden Ave & W 164 St,40.832812,-73.929372
Isham St & Broadway,40.86783874,-73.919592738
Grand Concourse & East Mount Eden Ave,40.843159914,-73.911698222
Suydam St & St. Nicholas Ave,40.70636,-73.91945
Church Ave & Story St,40.642031,-73.981073
31 Ave & 57 St,40.757347107,-73.904671669
Webb Ave & W 190 St,40.866142869,-73.904200554
Crescent St & 30 Ave,40.768692,-73.9249574
Prospect Pl & Howard Ave,40.672575831,-73.91993165
W 204 St & Nagle Ave,40.863211,-73.920827
E 167 St & Franklin Ave,40.829074264,-73.905335188
Rogers Pl & E 165 St,40.82388366441761,-73.8974027708582
E 171 St & 3 Ave,40.837186217,-73.902207136
Brook Ave & E 138 St,40.807408,-73.91924
Jerome Ave & W Fordham Rd,40.86303401,-73.900784016
23 St & 3 Ave,40.662611,-73.998623
Greenwood Ave & E 4 St,40.650789499,-73.977747917
E 16 St & 5 Ave,40.737280607,-73.992585301
Warren St & Smith St,40.68542400997018,-73.99127773940563
E 3 St & Church Ave,40.643814802,-73.977532148
Ditmars Blvd & 19 St,40.781340122,-73.918146729
Suydam St & Broadway,40.69544,-73.93223
36 St & Ditmars Blvd,40.774306,-73.908335
W 89 St & Columbus Ave,40.7882213,-73.97041561
34 Ave & 48 St,40.75388,-73.914952
Hudson St & Reade St,40.716306925,-74.009134412
Wilson Ave & Troutman St,40.70166,-73.92754
Washington Square E,40.73049393,-73.9957214
39 Dr & 52 St,40.74732,-73.91197
Centre St & Worth St,40.715046763,-74.002285957
E 118 St & 3 Ave,40.799209595,-73.938977361
30 Ave & 41 St,40.763422,-73.914142
5 Ave & E 29 St,40.7451677,-73.98683077
E 50 St & Park Ave,40.757334,-73.974235
E 169 St & Webster Ave,40.834015,-73.908863
3 Ave & Carroll St,40.677027,-73.9865
University Ave & W Burnside Ave,40.855361581,-73.910455942
39 Ave & 45 St,40.749488711,-73.918245196
Bleecker St & Crosby St,40.72615604980408,-73.99510189890862
Sands St & Jay St,40.700110435,-73.985933423
Crescent St & Ditmars Blvd,40.778736115,-73.914580703
Clinton St & Centre St,40.67434,-74.00194698
55 St & Northern Blvd,40.75312829,-73.905897141
Myrtle Ave & Marcy Ave,40.69539817,-73.94954908
Pacific St & Thomas S. Boyland St,40.67568,-73.91396
Barry St & Tiffany St,40.816126,-73.891559
59 St & 5 Ave,40.640168309,-74.015764356
E 156 St & Courtlandt Ave,40.82123860172,-73.9173299074173
72 St & 41 Ave,40.744651437,-73.893821239
Bay St & Court St,40.671421409,-74.00155139
Andrew Ave N & Hall of Fame Tce,40.8584342,-73.909999013
Bushwick Ave & Linden St,40.69146,-73.92146
W 37 St & 5 Ave,40.75038009,-73.98338988
Monroe St & Patchen Ave,40.68814,-73.92693
10 Ave & W 207 St,40.864632,-73.918598
53 St & 4 Ave,40.644862,-74.014531
48 St & 2 Ave,40.65006125,-74.015574336
Fulton St & William St,40.70960089363537,-74.00655090808868
Decatur Ave & Oliver Pl,40.867,-73.8857764
E 25 St & 1 Ave,40.7381765,-73.97738662
Columbia Heights & Cranberry St,40.700379,-73.995481
Webster Ave & Ford St,40.855450869,-73.89621067
47 Ave & Skillman Ave,40.743720055,-73.941850185
Bailey Ave & W 193 St,40.87069,-73.90678
Weeks Ave & E 175 St,40.846879,-73.907342
Tinton Ave & E 165 St,40.82483089,-73.902443886
31 St & Astoria Blvd,40.7699176,-73.9184057
Queens Blvd & 56 St,40.741932511,-73.908886194
E 134 St & Walnut Ave,40.800425,-73.911034
Herkimer St & Eastern Pkwy,40.67738,-73.90829
Amsterdam Ave & W 125 St,40.813358,-73.956461
Grand St & Elizabeth St,40.718822,-73.99596
5 St & Market St,40.6999974843885,-73.97440128028393
E 44 St & Lexington Ave,40.752643,-73.974996
Lefferts Pl & Franklin Ave,40.680244923,-73.955939412
Montrose Ave & Bushwick Ave,40.70767788,-73.94016171
E 10 St & 2 Ave,40.72970805644994,-73.9865979552269
Perry St & Greenwich Ave,40.73593545,-74.000877738
Steinway St & 28 Ave,40.7656251,-73.9136695
Wards Meadow Comfort Station,40.783002734,-73.930675149
Adam Clayton Powell Blvd & W 130 St,40.812346,-73.946168
Amsterdam Ave & W 119 St,40.80854404,-73.959682226
21 St & 36 Ave,40.7601853,-73.9362726
Hudson St & W 13 St,40.74005708567285,-74.0052741765976
Stagg St & Morgan Ave,40.710681,-73.93372
Leonard St & Maujer St,40.710328341,-73.946982861
Hancock St & Wyckoff Ave,40.6972,-73.90674
Driggs Ave & N Henry St,40.72325,-73.94308
DeKalb Ave & Vanderbilt Ave,40.689390898,-73.968931913
S 4 St & Rodney St,40.70934,-73.95608
Adam Clayton Powell Blvd & W 123 St,40.807739496,-73.949050069
Adam Clayton Powell Blvd & W 151 St,40.825297832,-73.936254621
